mnemonic,opcode,subsystem,criticality,description,fsw_min_version
CMD_CDH_MEM_PATCH_001,0x103B,CDH,NOMINAL,Patch memory region (variant 1),1.0
CMD_THERMAL_HTR_ON_001,0x103C,THERMAL,NOMINAL,Turn on heater zone (variant 1),1.0
CMD_THERMAL_HTR_OFF_001,0x103D,THERMAL,NOMINAL,Turn off heater zone (variant 1),1.0
CMD_THERMAL_HTR_AUTO_001,0x103E,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 1),1.0
CMD_PAYLOAD_IMG_CAPTURE_001,0x103F,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 1),1.0
CMD_PAYLOAD_IMG_ABORT_001,0x1040,PAYLOAD,HAZARDOUS,Abort current image capture (variant 1),1.0
CMD_PAYLOAD_INST_ON_001,0x1041,PAYLOAD,NOMINAL,Power on instrument (variant 1),1.0
CMD_PAYLOAD_INST_OFF_001,0x1042,PAYLOAD,NOMINAL,Power off instrument (variant 1),1.0
CMD_PAYLOAD_INST_CAL_001,0x1043,PAYLOAD,NOMINAL,Run instrument calibration (variant 1),1.0
CMD_PROP_VALVE_OPEN_001,0x1044,PROP,NOMINAL,Open propulsion valve (variant 1),1.0
CMD_PROP_VALVE_CLOSE_001,0x1045,PROP,NOMINAL,Close propulsion valve (variant 1),1.0
CMD_PROP_BURN_EXEC_001,0x1046,PROP,NOMINAL,Execute commanded delta-v burn (variant 1),1.0
CMD_PROP_BURN_ABORT_001,0x1047,PROP,NOMINAL,Abort active propulsive maneuver (variant 1),1.0
CMD_EPS_PWR_ON_002,0x1048,EPS,NOMINAL,Enable power channel in specified mode (variant 2),1.0
CMD_EPS_PWR_OFF_002,0x1049,EPS,HAZARDOUS,Disable power channel (variant 2),1.0
CMD_EPS_BATT_TRICKLE_002,0x104A,EPS,NOMINAL,Set battery trickle charge rate (variant 2),1.0
CMD_EPS_BATT_RESET_002,0x104B,EPS,NOMINAL,Reset battery management controller (variant 2),1.0
CMD_EPS_SOLAR_DEPLOY_002,0x104C,EPS,NOMINAL,Deploy solar array (variant 2),1.0
CMD_EPS_SOLAR_STOW_002,0x104D,EPS,CRITICAL,Stow solar array (variant 2),1.0
CMD_ADCS_MODE_SET_002,0x104E,ADCS,NOMINAL,Set ADCS control mode (variant 2),1.0
CMD_ADCS_MODE_SAFE_002,0x104F,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 2),1.0
CMD_ADCS_RW_SPIN_002,0x1050,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 2),1.0
CMD_ADCS_RW_STOP_002,0x1051,ADCS,CRITICAL,Stop reaction wheel (variant 2),1.0
CMD_ADCS_MTQ_FIRE_002,0x1052,ADCS,NOMINAL,Fire magnetorquer along axis (variant 2),1.0
CMD_ADCS_STAR_TRACK_002,0x1053,ADCS,HAZARDOUS,Begin star tracker tracking (variant 2),1.0
CMD_ADCS_ATT_SLEW_002,0x1054,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 2),1.0
CMD_COMM_TX_ENABLE_002,0x1055,COMM,CRITICAL,Enable transmitter on band (variant 2),1.0
CMD_COMM_TX_DISABLE_002,0x1056,COMM,NOMINAL,Disable transmitter on band (variant 2),1.0
CMD_COMM_TX_POWER_002,0x1057,COMM,CRITICAL,Set transmitter output power (variant 2),1.0
CMD_COMM_DUMP_START_002,0x1058,COMM,NOMINAL,Start virtual-channel data dump (variant 2),1.0
CMD_COMM_DUMP_STOP_002,0x1059,COMM,CRITICAL,Stop virtual-channel data dump (variant 2),1.0
CMD_CDH_BOOT_WARM_002,0x105A,CDH,NOMINAL,Warm reboot of flight processor (variant 2),1.0
CMD_CDH_BOOT_COLD_002,0x105B,CDH,NOMINAL,Cold reboot of flight processor (variant 2),1.0
CMD_CDH_TIME_SYNC_002,0x105C,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 2),1.0
CMD_CDH_FILE_DELETE_002,0x105D,CDH,NOMINAL,Delete onboard file by path (variant 2),1.0
CMD_CDH_MEM_DUMP_002,0x105E,CDH,NOMINAL,Dump memory region (variant 2),1.0
CMD_CDH_MEM_PATCH_002,0x105F,CDH,NOMINAL,Patch memory region (variant 2),1.0
CMD_THERMAL_HTR_ON_002,0x1060,THERMAL,NOMINAL,Turn on heater zone (variant 2),1.0
CMD_THERMAL_HTR_OFF_002,0x1061,THERMAL,NOMINAL,Turn off heater zone (variant 2),1.0
CMD_THERMAL_HTR_AUTO_002,0x1062,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 2),1.0
CMD_PAYLOAD_IMG_CAPTURE_002,0x1063,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 2),1.0
CMD_PAYLOAD_IMG_ABORT_002,0x1064,PAYLOAD,HAZARDOUS,Abort current image capture (variant 2),1.0
CMD_PAYLOAD_INST_ON_002,0x1065,PAYLOAD,NOMINAL,Power on instrument (variant 2),1.0
CMD_PAYLOAD_INST_OFF_002,0x1066,PAYLOAD,NOMINAL,Power off instrument (variant 2),1.0
CMD_PAYLOAD_INST_CAL_002,0x1067,PAYLOAD,NOMINAL,Run instrument calibration (variant 2),1.0
CMD_PROP_VALVE_OPEN_002,0x1068,PROP,NOMINAL,Open propulsion valve (variant 2),1.0
CMD_PROP_VALVE_CLOSE_002,0x1069,PROP,NOMINAL,Close propulsion valve (variant 2),1.0
CMD_PROP_BURN_EXEC_002,0x106A,PROP,NOMINAL,Execute commanded delta-v burn (variant 2),1.0
CMD_PROP_BURN_ABORT_002,0x106B,PROP,NOMINAL,Abort active propulsive maneuver (variant 2),1.0
CMD_EPS_PWR_ON_003,0x106C,EPS,NOMINAL,Enable power channel in specified mode (variant 3),1.0
CMD_EPS_PWR_OFF_003,0x106D,EPS,HAZARDOUS,Disable power channel (variant 3),1.0
CMD_EPS_BATT_TRICKLE_003,0x106E,EPS,NOMINAL,Set battery trickle charge rate (variant 3),1.0
CMD_EPS_BATT_RESET_003,0x106F,EPS,NOMINAL,Reset battery management controller (variant 3),1.0
CMD_EPS_SOLAR_DEPLOY_003,0x1070,EPS,NOMINAL,Deploy solar array (variant 3),1.0
CMD_EPS_SOLAR_STOW_003,0x1071,EPS,CRITICAL,Stow solar array (variant 3),1.0
CMD_ADCS_MODE_SET_003,0x1072,ADCS,NOMINAL,Set ADCS control mode (variant 3),1.0
CMD_ADCS_MODE_SAFE_003,0x1073,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 3),1.0
CMD_ADCS_RW_SPIN_003,0x1074,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 3),1.0
CMD_ADCS_RW_STOP_003,0x1075,ADCS,CRITICAL,Stop reaction wheel (variant 3),1.0
CMD_ADCS_MTQ_FIRE_003,0x1076,ADCS,NOMINAL,Fire magnetorquer along axis (variant 3),1.0
CMD_ADCS_STAR_TRACK_003,0x1077,ADCS,HAZARDOUS,Begin star tracker tracking (variant 3),1.0
CMD_ADCS_ATT_SLEW_003,0x1078,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 3),1.0
CMD_COMM_TX_ENABLE_003,0x1079,COMM,CRITICAL,Enable transmitter on band (variant 3),1.0
CMD_COMM_TX_DISABLE_003,0x107A,COMM,NOMINAL,Disable transmitter on band (variant 3),1.0
CMD_COMM_TX_POWER_003,0x107B,COMM,CRITICAL,Set transmitter output power (variant 3),1.0
CMD_COMM_DUMP_START_003,0x107C,COMM,NOMINAL,Start virtual-channel data dump (variant 3),1.0
CMD_COMM_DUMP_STOP_003,0x107D,COMM,CRITICAL,Stop virtual-channel data dump (variant 3),1.0
CMD_CDH_BOOT_WARM_003,0x107E,CDH,NOMINAL,Warm reboot of flight processor (variant 3),1.0
CMD_CDH_BOOT_COLD_003,0x107F,CDH,NOMINAL,Cold reboot of flight processor (variant 3),1.0
CMD_CDH_TIME_SYNC_003,0x1080,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 3),1.0
CMD_CDH_FILE_DELETE_003,0x1081,CDH,NOMINAL,Delete onboard file by path (variant 3),1.0
CMD_CDH_MEM_DUMP_003,0x1082,CDH,NOMINAL,Dump memory region (variant 3),1.0
CMD_CDH_MEM_PATCH_003,0x1083,CDH,NOMINAL,Patch memory region (variant 3),1.0
CMD_THERMAL_HTR_ON_003,0x1084,THERMAL,NOMINAL,Turn on heater zone (variant 3),1.0
CMD_THERMAL_HTR_OFF_003,0x1085,THERMAL,NOMINAL,Turn off heater zone (variant 3),1.0
CMD_THERMAL_HTR_AUTO_003,0x1086,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 3),1.0
CMD_PAYLOAD_IMG_CAPTURE_003,0x1087,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 3),1.0
CMD_PAYLOAD_IMG_ABORT_003,0x1088,PAYLOAD,HAZARDOUS,Abort current image capture (variant 3),1.0
CMD_PAYLOAD_INST_ON_003,0x1089,PAYLOAD,NOMINAL,Power on instrument (variant 3),1.0
CMD_PAYLOAD_INST_OFF_003,0x108A,PAYLOAD,NOMINAL,Power off instrument (variant 3),1.0
CMD_PAYLOAD_INST_CAL_003,0x108B,PAYLOAD,NOMINAL,Run instrument calibration (variant 3),1.0
CMD_PROP_VALVE_OPEN_003,0x108C,PROP,NOMINAL,Open propulsion valve (variant 3),1.0
CMD_PROP_VALVE_CLOSE_003,0x108D,PROP,NOMINAL,Close propulsion valve (variant 3),1.0
CMD_PROP_BURN_EXEC_003,0x108E,PROP,NOMINAL,Execute commanded delta-v burn (variant 3),1.0
CMD_PROP_BURN_ABORT_003,0x108F,PROP,NOMINAL,Abort active propulsive maneuver (variant 3),1.0
CMD_EPS_PWR_ON_004,0x1090,EPS,NOMINAL,Enable power channel in specified mode (variant 4),1.0
CMD_EPS_PWR_OFF_004,0x1091,EPS,HAZARDOUS,Disable power channel (variant 4),1.0
CMD_EPS_BATT_TRICKLE_004,0x1092,EPS,NOMINAL,Set battery trickle charge rate (variant 4),1.0
CMD_EPS_BATT_RESET_004,0x1093,EPS,NOMINAL,Reset battery management controller (variant 4),1.0
CMD_EPS_SOLAR_DEPLOY_004,0x1094,EPS,NOMINAL,Deploy solar array (variant 4),1.0
CMD_EPS_SOLAR_STOW_004,0x1095,EPS,CRITICAL,Stow solar array (variant 4),1.0
CMD_ADCS_MODE_SET_004,0x1096,ADCS,NOMINAL,Set ADCS control mode (variant 4),1.0
CMD_ADCS_MODE_SAFE_004,0x1097,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 4),1.0
CMD_ADCS_RW_SPIN_004,0x1098,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 4),1.0
CMD_ADCS_RW_STOP_004,0x1099,ADCS,CRITICAL,Stop reaction wheel (variant 4),1.0
CMD_ADCS_MTQ_FIRE_004,0x109A,ADCS,NOMINAL,Fire magnetorquer along axis (variant 4),1.0
CMD_ADCS_STAR_TRACK_004,0x109B,ADCS,HAZARDOUS,Begin star tracker tracking (variant 4),1.0
CMD_ADCS_ATT_SLEW_004,0x109C,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 4),1.0
CMD_COMM_TX_ENABLE_004,0x109D,COMM,CRITICAL,Enable transmitter on band (variant 4),1.0
CMD_COMM_TX_DISABLE_004,0x109E,COMM,NOMINAL,Disable transmitter on band (variant 4),1.0
CMD_COMM_TX_POWER_004,0x109F,COMM,CRITICAL,Set transmitter output power (variant 4),1.0
CMD_COMM_DUMP_START_004,0x10A0,COMM,NOMINAL,Start virtual-channel data dump (variant 4),1.0
CMD_COMM_DUMP_STOP_004,0x10A1,COMM,CRITICAL,Stop virtual-channel data dump (variant 4),1.0
CMD_CDH_BOOT_WARM_004,0x10A2,CDH,NOMINAL,Warm reboot of flight processor (variant 4),1.0
CMD_CDH_BOOT_COLD_004,0x10A3,CDH,NOMINAL,Cold reboot of flight processor (variant 4),1.0
CMD_CDH_TIME_SYNC_004,0x10A4,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 4),1.0
CMD_CDH_FILE_DELETE_004,0x10A5,CDH,NOMINAL,Delete onboard file by path (variant 4),1.0
CMD_CDH_MEM_DUMP_004,0x10A6,CDH,NOMINAL,Dump memory region (variant 4),1.0
CMD_CDH_MEM_PATCH_004,0x10A7,CDH,NOMINAL,Patch memory region (variant 4),1.0
CMD_THERMAL_HTR_ON_004,0x10A8,THERMAL,NOMINAL,Turn on heater zone (variant 4),1.0
CMD_THERMAL_HTR_OFF_004,0x10A9,THERMAL,NOMINAL,Turn off heater zone (variant 4),1.0
CMD_THERMAL_HTR_AUTO_004,0x10AA,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 4),1.0
CMD_PAYLOAD_IMG_CAPTURE_004,0x10AB,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 4),1.0
CMD_PAYLOAD_IMG_ABORT_004,0x10AC,PAYLOAD,HAZARDOUS,Abort current image capture (variant 4),1.0
CMD_PAYLOAD_INST_ON_004,0x10AD,PAYLOAD,NOMINAL,Power on instrument (variant 4),1.0
CMD_PAYLOAD_INST_OFF_004,0x10AE,PAYLOAD,NOMINAL,Power off instrument (variant 4),1.0
CMD_PAYLOAD_INST_CAL_004,0x10AF,PAYLOAD,NOMINAL,Run instrument calibration (variant 4),1.0
CMD_PROP_VALVE_OPEN_004,0x10B0,PROP,NOMINAL,Open propulsion valve (variant 4),1.0
CMD_PROP_VALVE_CLOSE_004,0x10B1,PROP,NOMINAL,Close propulsion valve (variant 4),1.0
CMD_PROP_BURN_EXEC_004,0x10B2,PROP,NOMINAL,Execute commanded delta-v burn (variant 4),1.0
CMD_PROP_BURN_ABORT_004,0x10B3,PROP,NOMINAL,Abort active propulsive maneuver (variant 4),1.0
CMD_EPS_PWR_ON_005,0x10B4,EPS,NOMINAL,Enable power channel in specified mode (variant 5),1.0
CMD_EPS_PWR_OFF_005,0x10B5,EPS,HAZARDOUS,Disable power channel (variant 5),1.0
CMD_EPS_BATT_TRICKLE_005,0x10B6,EPS,NOMINAL,Set battery trickle charge rate (variant 5),1.0
CMD_EPS_BATT_RESET_005,0x10B7,EPS,NOMINAL,Reset battery management controller (variant 5),1.0
CMD_EPS_SOLAR_DEPLOY_005,0x10B8,EPS,NOMINAL,Deploy solar array (variant 5),1.0
CMD_EPS_SOLAR_STOW_005,0x10B9,EPS,CRITICAL,Stow solar array (variant 5),1.0
CMD_ADCS_MODE_SET_005,0x10BA,ADCS,NOMINAL,Set ADCS control mode (variant 5),1.0
CMD_ADCS_MODE_SAFE_005,0x10BB,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 5),1.0
CMD_ADCS_RW_SPIN_005,0x10BC,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 5),1.0
CMD_ADCS_RW_STOP_005,0x10BD,ADCS,CRITICAL,Stop reaction wheel (variant 5),1.0
CMD_ADCS_MTQ_FIRE_005,0x10BE,ADCS,NOMINAL,Fire magnetorquer along axis (variant 5),1.0
CMD_ADCS_STAR_TRACK_005,0x10BF,ADCS,HAZARDOUS,Begin star tracker tracking (variant 5),1.0
CMD_ADCS_ATT_SLEW_005,0x10C0,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 5),1.0
CMD_COMM_TX_ENABLE_005,0x10C1,COMM,CRITICAL,Enable transmitter on band (variant 5),1.0
CMD_COMM_TX_DISABLE_005,0x10C2,COMM,NOMINAL,Disable transmitter on band (variant 5),1.0
CMD_COMM_TX_POWER_005,0x10C3,COMM,CRITICAL,Set transmitter output power (variant 5),1.0
CMD_COMM_DUMP_START_005,0x10C4,COMM,NOMINAL,Start virtual-channel data dump (variant 5),1.0
CMD_COMM_DUMP_STOP_005,0x10C5,COMM,CRITICAL,Stop virtual-channel data dump (variant 5),1.0
CMD_CDH_BOOT_WARM_005,0x10C6,CDH,NOMINAL,Warm reboot of flight processor (variant 5),1.0
CMD_CDH_BOOT_COLD_005,0x10C7,CDH,NOMINAL,Cold reboot of flight processor (variant 5),1.0
CMD_CDH_TIME_SYNC_005,0x10C8,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 5),1.0
CMD_CDH_FILE_DELETE_005,0x10C9,CDH,NOMINAL,Delete onboard file by path (variant 5),1.0
CMD_CDH_MEM_DUMP_005,0x10CA,CDH,NOMINAL,Dump memory region (variant 5),1.0
CMD_CDH_MEM_PATCH_005,0x10CB,CDH,NOMINAL,Patch memory region (variant 5),1.0
CMD_THERMAL_HTR_ON_005,0x10CC,THERMAL,NOMINAL,Turn on heater zone (variant 5),1.0
CMD_THERMAL_HTR_OFF_005,0x10CD,THERMAL,NOMINAL,Turn off heater zone (variant 5),1.0
CMD_THERMAL_HTR_AUTO_005,0x10CE,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 5),1.0
CMD_PAYLOAD_IMG_CAPTURE_005,0x10CF,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 5),1.0
CMD_PAYLOAD_IMG_ABORT_005,0x10D0,PAYLOAD,HAZARDOUS,Abort current image capture (variant 5),1.0
CMD_PAYLOAD_INST_ON_005,0x10D1,PAYLOAD,NOMINAL,Power on instrument (variant 5),1.0
CMD_PAYLOAD_INST_OFF_005,0x10D2,PAYLOAD,NOMINAL,Power off instrument (variant 5),1.0
CMD_PAYLOAD_INST_CAL_005,0x10D3,PAYLOAD,NOMINAL,Run instrument calibration (variant 5),1.0
CMD_PROP_VALVE_OPEN_005,0x10D4,PROP,NOMINAL,Open propulsion valve (variant 5),1.0
CMD_PROP_VALVE_CLOSE_005,0x10D5,PROP,NOMINAL,Close propulsion valve (variant 5),1.0
CMD_PROP_BURN_EXEC_005,0x10D6,PROP,NOMINAL,Execute commanded delta-v burn (variant 5),1.0
CMD_PROP_BURN_ABORT_005,0x10D7,PROP,NOMINAL,Abort active propulsive maneuver (variant 5),1.0
CMD_EPS_PWR_ON_006,0x10D8,EPS,NOMINAL,Enable power channel in specified mode (variant 6),1.0
CMD_EPS_PWR_OFF_006,0x10D9,EPS,HAZARDOUS,Disable power channel (variant 6),1.0
CMD_EPS_BATT_TRICKLE_006,0x10DA,EPS,NOMINAL,Set battery trickle charge rate (variant 6),1.0
CMD_EPS_BATT_RESET_006,0x10DB,EPS,NOMINAL,Reset battery management controller (variant 6),1.0
CMD_EPS_SOLAR_DEPLOY_006,0x10DC,EPS,NOMINAL,Deploy solar array (variant 6),1.0
CMD_EPS_SOLAR_STOW_006,0x10DD,EPS,CRITICAL,Stow solar array (variant 6),1.0
CMD_ADCS_MODE_SET_006,0x10DE,ADCS,NOMINAL,Set ADCS control mode (variant 6),1.0
CMD_ADCS_MODE_SAFE_006,0x10DF,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 6),1.0
CMD_ADCS_RW_SPIN_006,0x10E0,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 6),1.0
CMD_ADCS_RW_STOP_006,0x10E1,ADCS,CRITICAL,Stop reaction wheel (variant 6),1.0
CMD_ADCS_MTQ_FIRE_006,0x10E2,ADCS,NOMINAL,Fire magnetorquer along axis (variant 6),1.0
CMD_ADCS_STAR_TRACK_006,0x10E3,ADCS,HAZARDOUS,Begin star tracker tracking (variant 6),1.0
CMD_ADCS_ATT_SLEW_006,0x10E4,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 6),1.0
CMD_COMM_TX_ENABLE_006,0x10E5,COMM,CRITICAL,Enable transmitter on band (variant 6),1.0
CMD_COMM_TX_DISABLE_006,0x10E6,COMM,NOMINAL,Disable transmitter on band (variant 6),1.0
CMD_COMM_TX_POWER_006,0x10E7,COMM,CRITICAL,Set transmitter output power (variant 6),1.0
CMD_COMM_DUMP_START_006,0x10E8,COMM,NOMINAL,Start virtual-channel data dump (variant 6),1.0
CMD_COMM_DUMP_STOP_006,0x10E9,COMM,CRITICAL,Stop virtual-channel data dump (variant 6),1.0
CMD_CDH_BOOT_WARM_006,0x10EA,CDH,NOMINAL,Warm reboot of flight processor (variant 6),1.0
CMD_CDH_BOOT_COLD_006,0x10EB,CDH,NOMINAL,Cold reboot of flight processor (variant 6),1.0
CMD_CDH_TIME_SYNC_006,0x10EC,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 6),1.0
CMD_CDH_FILE_DELETE_006,0x10ED,CDH,NOMINAL,Delete onboard file by path (variant 6),1.0
CMD_CDH_MEM_DUMP_006,0x10EE,CDH,NOMINAL,Dump memory region (variant 6),1.0
CMD_CDH_MEM_PATCH_006,0x10EF,CDH,NOMINAL,Patch memory region (variant 6),1.0
CMD_THERMAL_HTR_ON_006,0x10F0,THERMAL,NOMINAL,Turn on heater zone (variant 6),1.0
CMD_THERMAL_HTR_OFF_006,0x10F1,THERMAL,NOMINAL,Turn off heater zone (variant 6),1.0
CMD_THERMAL_HTR_AUTO_006,0x10F2,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 6),1.0
CMD_PAYLOAD_IMG_CAPTURE_006,0x10F3,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 6),1.0
CMD_PAYLOAD_IMG_ABORT_006,0x10F4,PAYLOAD,HAZARDOUS,Abort current image capture (variant 6),1.0
CMD_PAYLOAD_INST_ON_006,0x10F5,PAYLOAD,NOMINAL,Power on instrument (variant 6),1.0
CMD_PAYLOAD_INST_OFF_006,0x10F6,PAYLOAD,NOMINAL,Power off instrument (variant 6),1.0
CMD_PAYLOAD_INST_CAL_006,0x10F7,PAYLOAD,NOMINAL,Run instrument calibration (variant 6),1.0
CMD_PROP_VALVE_OPEN_006,0x10F8,PROP,NOMINAL,Open propulsion valve (variant 6),1.0
