mnemonic,arg_position,arg_name,arg_type
CMD_CDH_MEM_DUMP_005,0,addr,uint32
CMD_CDH_MEM_DUMP_005,1,len,uint16
CMD_CDH_MEM_PATCH_005,0,addr,uint32
CMD_CDH_MEM_PATCH_005,1,data,bytes
CMD_THERMAL_HTR_ON_005,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_005,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_005,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_005,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_005,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_005,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_006,0,channel,uint8
CMD_EPS_PWR_ON_006,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_006,0,channel,uint8
CMD_EPS_BATT_TRICKLE_006,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_006,0,array_id,uint8
CMD_EPS_SOLAR_STOW_006,0,array_id,uint8
CMD_ADCS_MODE_SET_006,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_006,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_006,1,rpm,int16
CMD_ADCS_RW_STOP_006,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_006,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_006,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_006,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_006,0,quat_x,float32
CMD_ADCS_ATT_SLEW_006,1,quat_y,float32
CMD_ADCS_ATT_SLEW_006,2,quat_z,float32
CMD_ADCS_ATT_SLEW_006,3,quat_w,float32
CMD_COMM_TX_ENABLE_006,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_006,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_006,0,dbm,int8
CMD_COMM_DUMP_START_006,0,vc_id,uint8
CMD_COMM_DUMP_STOP_006,0,vc_id,uint8
CMD_CDH_TIME_SYNC_006,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_006,0,path,string
CMD_CDH_MEM_DUMP_006,0,addr,uint32
CMD_CDH_MEM_DUMP_006,1,len,uint16
CMD_CDH_MEM_PATCH_006,0,addr,uint32
CMD_CDH_MEM_PATCH_006,1,data,bytes
CMD_THERMAL_HTR_ON_006,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_006,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_006,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_006,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_006,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_006,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_007,0,channel,uint8
CMD_EPS_PWR_ON_007,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_007,0,channel,uint8
CMD_EPS_BATT_TRICKLE_007,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_007,0,array_id,uint8
CMD_EPS_SOLAR_STOW_007,0,array_id,uint8
CMD_ADCS_MODE_SET_007,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_007,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_007,1,rpm,int16
CMD_ADCS_RW_STOP_007,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_007,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_007,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_007,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_007,0,quat_x,float32
CMD_ADCS_ATT_SLEW_007,1,quat_y,float32
CMD_ADCS_ATT_SLEW_007,2,quat_z,float32
CMD_ADCS_ATT_SLEW_007,3,quat_w,float32
CMD_COMM_TX_ENABLE_007,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_007,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_007,0,dbm,int8
CMD_COMM_DUMP_START_007,0,vc_id,uint8
CMD_COMM_DUMP_STOP_007,0,vc_id,uint8
CMD_CDH_TIME_SYNC_007,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_007,0,path,string
CMD_CDH_MEM_DUMP_007,0,addr,uint32
CMD_CDH_MEM_DUMP_007,1,len,uint16
CMD_CDH_MEM_PATCH_007,0,addr,uint32
CMD_CDH_MEM_PATCH_007,1,data,bytes
CMD_THERMAL_HTR_ON_007,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_007,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_007,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_007,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_007,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_007,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_008,0,channel,uint8
CMD_EPS_PWR_ON_008,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_008,0,channel,uint8
CMD_EPS_BATT_TRICKLE_008,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_008,0,array_id,uint8
CMD_EPS_SOLAR_STOW_008,0,array_id,uint8
CMD_ADCS_MODE_SET_008,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_008,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_008,1,rpm,int16
CMD_ADCS_RW_STOP_008,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_008,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_008,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_008,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_008,0,quat_x,float32
CMD_ADCS_ATT_SLEW_008,1,quat_y,float32
CMD_ADCS_ATT_SLEW_008,2,quat_z,float32
CMD_ADCS_ATT_SLEW_008,3,quat_w,float32
CMD_COMM_TX_ENABLE_008,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_008,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_008,0,dbm,int8
CMD_COMM_DUMP_START_008,0,vc_id,uint8
CMD_COMM_DUMP_STOP_008,0,vc_id,uint8
CMD_CDH_TIME_SYNC_008,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_008,0,path,string
CMD_CDH_MEM_DUMP_008,0,addr,uint32
CMD_CDH_MEM_DUMP_008,1,len,uint16
CMD_CDH_MEM_PATCH_008,0,addr,uint32
CMD_CDH_MEM_PATCH_008,1,data,bytes
CMD_THERMAL_HTR_ON_008,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_008,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_008,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_008,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_008,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_008,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_009,0,channel,uint8
CMD_EPS_PWR_ON_009,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_009,0,channel,uint8
CMD_EPS_BATT_TRICKLE_009,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_009,0,array_id,uint8
CMD_EPS_SOLAR_STOW_009,0,array_id,uint8
CMD_ADCS_MODE_SET_009,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_009,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_009,1,rpm,int16
CMD_ADCS_RW_STOP_009,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_009,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_009,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_009,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_009,0,quat_x,float32
CMD_ADCS_ATT_SLEW_009,1,quat_y,float32
CMD_ADCS_ATT_SLEW_009,2,quat_z,float32
CMD_ADCS_ATT_SLEW_009,3,quat_w,float32
CMD_COMM_TX_ENABLE_009,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_009,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_009,0,dbm,int8
CMD_COMM_DUMP_START_009,0,vc_id,uint8
CMD_COMM_DUMP_STOP_009,0,vc_id,uint8
CMD_CDH_TIME_SYNC_009,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_009,0,path,string
CMD_CDH_MEM_DUMP_009,0,addr,uint32
CMD_CDH_MEM_DUMP_009,1,len,uint16
CMD_CDH_MEM_PATCH_009,0,addr,uint32
CMD_CDH_MEM_PATCH_009,1,data,bytes
CMD_THERMAL_HTR_ON_009,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_009,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_009,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_009,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_009,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_009,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_010,0,channel,uint8
CMD_EPS_PWR_ON_010,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_010,0,channel,uint8
CMD_EPS_BATT_TRICKLE_010,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_010,0,array_id,uint8
CMD_EPS_SOLAR_STOW_010,0,array_id,uint8
CMD_ADCS_MODE_SET_010,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_010,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_010,1,rpm,int16
CMD_ADCS_RW_STOP_010,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_010,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_010,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_010,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_010,0,quat_x,float32
CMD_ADCS_ATT_SLEW_010,1,quat_y,float32
CMD_ADCS_ATT_SLEW_010,2,quat_z,float32
CMD_ADCS_ATT_SLEW_010,3,quat_w,float32
CMD_COMM_TX_ENABLE_010,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_010,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_010,0,dbm,int8
CMD_COMM_DUMP_START_010,0,vc_id,uint8
CMD_COMM_DUMP_STOP_010,0,vc_id,uint8
CMD_CDH_TIME_SYNC_010,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_010,0,path,string
CMD_CDH_MEM_DUMP_010,0,addr,uint32
CMD_CDH_MEM_DUMP_010,1,len,uint16
CMD_CDH_MEM_PATCH_010,0,addr,uint32
CMD_CDH_MEM_PATCH_010,1,data,bytes
CMD_THERMAL_HTR_ON_010,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_010,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_010,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_010,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_010,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_010,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_011,0,channel,uint8
CMD_EPS_PWR_ON_011,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_011,0,channel,uint8
CMD_EPS_BATT_TRICKLE_011,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_011,0,array_id,uint8
CMD_EPS_SOLAR_STOW_011,0,array_id,uint8
CMD_ADCS_MODE_SET_011,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_011,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_011,1,rpm,int16
CMD_ADCS_RW_STOP_011,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_011,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_011,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_011,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_011,0,quat_x,float32
CMD_ADCS_ATT_SLEW_011,1,quat_y,float32
CMD_ADCS_ATT_SLEW_011,2,quat_z,float32
CMD_ADCS_ATT_SLEW_011,3,quat_w,float32
CMD_COMM_TX_ENABLE_011,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_011,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_011,0,dbm,int8
CMD_COMM_DUMP_START_011,0,vc_id,uint8
CMD_COMM_DUMP_STOP_011,0,vc_id,uint8
CMD_CDH_TIME_SYNC_011,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_011,0,path,string
CMD_CDH_MEM_DUMP_011,0,addr,uint32
CMD_CDH_MEM_DUMP_011,1,len,uint16
CMD_CDH_MEM_PATCH_011,0,addr,uint32
CMD_CDH_MEM_PATCH_011,1,data,bytes
CMD_THERMAL_HTR_ON_011,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_011,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_011,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_011,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_011,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_011,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_012,0,channel,uint8
CMD_EPS_PWR_ON_012,1,mode,ENUM_PWR_MODE
CMD_EPS_PWR_OFF_012,0,channel,uint8
CMD_EPS_BATT_TRICKLE_012,0,rate_ma,uint16
CMD_EPS_SOLAR_DEPLOY_012,0,array_id,uint8
CMD_EPS_SOLAR_STOW_012,0,array_id,uint8
CMD_ADCS_MODE_SET_012,0,mode,ENUM_ADCS_MODE
CMD_ADCS_RW_SPIN_012,0,wheel_id,uint8
CMD_ADCS_RW_SPIN_012,1,rpm,int16
CMD_ADCS_RW_STOP_012,0,wheel_id,uint8
CMD_ADCS_MTQ_FIRE_012,0,axis,ENUM_MTQ_AXIS
CMD_ADCS_MTQ_FIRE_012,1,duration_s,uint16
CMD_ADCS_STAR_TRACK_012,0,tracker_id,uint8
CMD_ADCS_ATT_SLEW_012,0,quat_x,float32
CMD_ADCS_ATT_SLEW_012,1,quat_y,float32
CMD_ADCS_ATT_SLEW_012,2,quat_z,float32
CMD_ADCS_ATT_SLEW_012,3,quat_w,float32
CMD_COMM_TX_ENABLE_012,0,band,ENUM_RF_BAND
CMD_COMM_TX_DISABLE_012,0,band,ENUM_RF_BAND
CMD_COMM_TX_POWER_012,0,dbm,int8
CMD_COMM_DUMP_START_012,0,vc_id,uint8
CMD_COMM_DUMP_STOP_012,0,vc_id,uint8
CMD_CDH_TIME_SYNC_012,0,epoch_s,uint32
CMD_CDH_FILE_DELETE_012,0,path,string
CMD_CDH_MEM_DUMP_012,0,addr,uint32
CMD_CDH_MEM_DUMP_012,1,len,uint16
CMD_CDH_MEM_PATCH_012,0,addr,uint32
CMD_CDH_MEM_PATCH_012,1,data,bytes
CMD_THERMAL_HTR_ON_012,0,heater_id,uint8
CMD_THERMAL_HTR_OFF_012,0,heater_id,uint8
CMD_THERMAL_HTR_AUTO_012,0,heater_id,uint8
CMD_PAYLOAD_IMG_CAPTURE_012,0,integration_ms,uint16
CMD_PAYLOAD_IMG_CAPTURE_012,1,filter,ENUM_FILTER
CMD_PAYLOAD_INST_CAL_012,0,cal_mode,ENUM_CAL_MODE
CMD_EPS_PWR_ON_013,0,channel,uint8
