alert_id,type,severity,watched_telemetry,condition,description,fdir_id,page,fsw_min_version,owner,created,updated,ack_required,auto_clear,notes
ALT_PAYLOAD_AUX_0047,threshold,WARNING,TLM_PAYLOAD_AUX_15,value > 1000,PAYLOAD auxiliary 15 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0048,threshold,WARNING,TLM_PROP_AUX_00,value > 1000,PROP auxiliary 0 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0049,threshold,WARNING,TLM_EPS_AUX_01,value > 1000,EPS auxiliary 1 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0050,threshold,WARNING,TLM_ADCS_AUX_02,value > 1000,ADCS auxiliary 2 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0051,threshold,WARNING,TLM_COMM_AUX_03,value > 1000,COMM auxiliary 3 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0052,threshold,WARNING,TLM_CDH_AUX_04,value > 1000,CDH auxiliary 4 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0053,threshold,WARNING,TLM_THERMAL_AUX_05,value > 1000,THERMAL auxiliary 5 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0054,threshold,WARNING,TLM_PAYLOAD_AUX_06,value > 1000,PAYLOAD auxiliary 6 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0055,threshold,WARNING,TLM_PROP_AUX_07,value > 1000,PROP auxiliary 7 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0056,threshold,WARNING,TLM_EPS_AUX_08,value > 1000,EPS auxiliary 8 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0057,threshold,WARNING,TLM_ADCS_AUX_09,value > 1000,ADCS auxiliary 9 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0058,threshold,WARNING,TLM_COMM_AUX_10,value > 1000,COMM auxiliary 10 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0059,threshold,WARNING,TLM_CDH_AUX_11,value > 1000,CDH auxiliary 11 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0060,threshold,WARNING,TLM_THERMAL_AUX_12,value > 1000,THERMAL auxiliary 12 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0061,threshold,WARNING,TLM_PAYLOAD_AUX_13,value > 1000,PAYLOAD auxiliary 13 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0062,threshold,WARNING,TLM_PROP_AUX_14,value > 1000,PROP auxiliary 14 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0063,threshold,WARNING,TLM_EPS_AUX_15,value > 1000,EPS auxiliary 15 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0064,threshold,WARNING,TLM_ADCS_AUX_00,value > 1000,ADCS auxiliary 0 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0065,threshold,WARNING,TLM_COMM_AUX_01,value > 1000,COMM auxiliary 1 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0066,threshold,WARNING,TLM_CDH_AUX_02,value > 1000,CDH auxiliary 2 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0067,threshold,WARNING,TLM_THERMAL_AUX_03,value > 1000,THERMAL auxiliary 3 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0068,threshold,WARNING,TLM_PAYLOAD_AUX_04,value > 1000,PAYLOAD auxiliary 4 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0069,threshold,WARNING,TLM_PROP_AUX_05,value > 1000,PROP auxiliary 5 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0070,threshold,WARNING,TLM_EPS_AUX_06,value > 1000,EPS auxiliary 6 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0071,threshold,WARNING,TLM_ADCS_AUX_07,value > 1000,ADCS auxiliary 7 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0072,threshold,WARNING,TLM_COMM_AUX_08,value > 1000,COMM auxiliary 8 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0073,threshold,WARNING,TLM_CDH_AUX_09,value > 1000,CDH auxiliary 9 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0074,threshold,WARNING,TLM_THERMAL_AUX_10,value > 1000,THERMAL auxiliary 10 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0075,threshold,WARNING,TLM_PAYLOAD_AUX_11,value > 1000,PAYLOAD auxiliary 11 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0076,threshold,WARNING,TLM_PROP_AUX_12,value > 1000,PROP auxiliary 12 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0077,threshold,WARNING,TLM_EPS_AUX_13,value > 1000,EPS auxiliary 13 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0078,threshold,WARNING,TLM_ADCS_AUX_14,value > 1000,ADCS auxiliary 14 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0079,threshold,WARNING,TLM_COMM_AUX_15,value > 1000,COMM auxiliary 15 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0080,threshold,WARNING,TLM_CDH_AUX_00,value > 1000,CDH auxiliary 0 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0081,threshold,WARNING,TLM_THERMAL_AUX_01,value > 1000,THERMAL auxiliary 1 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0082,threshold,WARNING,TLM_PAYLOAD_AUX_02,value > 1000,PAYLOAD auxiliary 2 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0083,threshold,WARNING,TLM_PROP_AUX_03,value > 1000,PROP auxiliary 3 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0084,threshold,WARNING,TLM_EPS_AUX_04,value > 1000,EPS auxiliary 4 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0085,threshold,WARNING,TLM_ADCS_AUX_05,value > 1000,ADCS auxiliary 5 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0086,threshold,WARNING,TLM_COMM_AUX_06,value > 1000,COMM auxiliary 6 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0087,threshold,WARNING,TLM_CDH_AUX_07,value > 1000,CDH auxiliary 7 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0088,threshold,WARNING,TLM_THERMAL_AUX_08,value > 1000,THERMAL auxiliary 8 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0089,threshold,WARNING,TLM_PAYLOAD_AUX_09,value > 1000,PAYLOAD auxiliary 9 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0090,threshold,WARNING,TLM_PROP_AUX_10,value > 1000,PROP auxiliary 10 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0091,threshold,WARNING,TLM_EPS_AUX_11,value > 1000,EPS auxiliary 11 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0092,threshold,WARNING,TLM_ADCS_AUX_12,value > 1000,ADCS auxiliary 12 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0093,threshold,WARNING,TLM_COMM_AUX_13,value > 1000,COMM auxiliary 13 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0094,threshold,WARNING,TLM_CDH_AUX_14,value > 1000,CDH auxiliary 14 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0095,threshold,WARNING,TLM_THERMAL_AUX_15,value > 1000,THERMAL auxiliary 15 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0096,threshold,WARNING,TLM_PAYLOAD_AUX_00,value > 1000,PAYLOAD auxiliary 0 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0097,threshold,WARNING,TLM_PROP_AUX_01,value > 1000,PROP auxiliary 1 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0098,threshold,WARNING,TLM_EPS_AUX_02,value > 1000,EPS auxiliary 2 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0099,threshold,WARNING,TLM_ADCS_AUX_03,value > 1000,ADCS auxiliary 3 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0100,threshold,WARNING,TLM_COMM_AUX_04,value > 1000,COMM auxiliary 4 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0101,threshold,WARNING,TLM_CDH_AUX_05,value > 1000,CDH auxiliary 5 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0102,threshold,WARNING,TLM_THERMAL_AUX_06,value > 1000,THERMAL auxiliary 6 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0103,threshold,WARNING,TLM_PAYLOAD_AUX_07,value > 1000,PAYLOAD auxiliary 7 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0104,threshold,WARNING,TLM_PROP_AUX_08,value > 1000,PROP auxiliary 8 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0105,threshold,WARNING,TLM_EPS_AUX_09,value > 1000,EPS auxiliary 9 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0106,threshold,WARNING,TLM_ADCS_AUX_10,value > 1000,ADCS auxiliary 10 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0107,threshold,WARNING,TLM_COMM_AUX_11,value > 1000,COMM auxiliary 11 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0108,threshold,WARNING,TLM_CDH_AUX_12,value > 1000,CDH auxiliary 12 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0109,threshold,WARNING,TLM_THERMAL_AUX_13,value > 1000,THERMAL auxiliary 13 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0110,threshold,WARNING,TLM_PAYLOAD_AUX_14,value > 1000,PAYLOAD auxiliary 14 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PROP_AUX_0111,threshold,WARNING,TLM_PROP_AUX_15,value > 1000,PROP auxiliary 15 out of range,FDIR_PROP_001,PROP_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_EPS_AUX_0112,threshold,WARNING,TLM_EPS_AUX_00,value > 1000,EPS auxiliary 0 out of range,FDIR_EPS_001,EPS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_ADCS_AUX_0113,threshold,WARNING,TLM_ADCS_AUX_01,value > 1000,ADCS auxiliary 1 out of range,FDIR_ADCS_001,ADCS_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_COMM_AUX_0114,threshold,WARNING,TLM_COMM_AUX_02,value > 1000,COMM auxiliary 2 out of range,FDIR_COMM_001,COMM_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_CDH_AUX_0115,threshold,WARNING,TLM_CDH_AUX_03,value > 1000,CDH auxiliary 3 out of range,FDIR_CDH_001,CDH_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_THERMAL_AUX_0116,threshold,WARNING,TLM_THERMAL_AUX_04,value > 1000,THERMAL auxiliary 4 out of range,FDIR_THM_001,THERMAL_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
ALT_PAYLOAD_AUX_0117,threshold,WARNING,TLM_PAYLOAD_AUX_05,value > 1000,PAYLOAD auxiliary 5 out of range,FDIR_PAY_001,PAYLOAD_OVERVIEW,1.0,ops-team,2024-01-15,2024-09-01,no,yes,auto-generated
